english,name,duration,release_date,director,scenarists,actors,type,ratings,brief_into,movie_id
1,Legion,1h,TV Series (2017– ),,"['Noah Hawley', '20th Century Fox Television', '26 Keys Productions', 'Bad Hat Harry Productions']","['Dan Stevens', 'Rachel Keller', 'Aubrey Plaza']","['Action', 'Drama', 'Sci-Fi']",['8.6'],"Legion, based on the Marvel Comics by Chris Claremont and Bill Sienkiewicz, is the story of David Haller (Dan Stevens), a troubled young man who may be more than human. Diagnosed as schizophrenic as a child, David has been in and out of psychiatric hospitals for years. Now in his early 20's and free once again, David loses himself in the rhythm of the structured regimen of daily life: breakfast, lunch, dinner, therapy, medications, sleep. David spends the rest of his time in companionable silence alongside his chatterbox friend Lenny (Aubrey Plaza), a fellow patient whose life-long drug and alcohol addiction has done nothing to quell her boundless optimism that her luck is about to change. The pleasant numbness of David's routine is completely upended with the arrival of a beautiful and troubled new patient named Syd (Rachel Keller). Inexplicably drawn to one another, David and Syd share a startling encounter, after which David must confront the shocking possibility that the voices he...",390
1,Before Sunset,1h 20min,30 July 2004 (USA),['Richard Linklater'],"['Richard Linklater', 'Julie Delpy', 'Warner Independent Pictures (WIP)', 'Castle Rock Entertainment', 'Detour Filmproduction']","['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff']","['Drama', 'Romance']",['8.0'],"Early thirty-something American Jesse Wallace is in a Paris bookstore, the last stop on a tour to promote his best selling book, This Time. Although he is vague to reporters about the source material for the book, it is about his chance encounter nine years earlier on June 15-16, 1994 with a Parisienne named Celine, and the memorable and romantic day and evening they spent together in Vienna. At the end of their encounter at the Vienna train station, which is also how the book ends, they, not providing contact information to the other, vowed to meet each other again in exactly six months at that very spot. As the media scrum at the bookstore nears its conclusion, Jesse spots Celine in the crowd, she who only found out about the book when she earlier saw his photograph promoting this public appearance. Much like their previous encounter, Jesse and Celine, who is now an environmental activist, decide to spend time together until he is supposed to catch his flight back to New York, this ...",393
1,2 Fast 2 Furious,1h 47min,6 June 2003 (USA),['John Singleton'],"['Gary Scott Thompson', 'Michael Brandt', 'Universal Pictures', 'Original Film', 'Mikona Productions GmbH & Co. KG']","['Paul Walker', 'Tyrese Gibson', 'Cole Hauser']","['Action', 'Crime', 'Thriller']",['5.9'],EX LAPD cop Brian O'Conner (Paul Walker) teams up with his ex-con friend Roman Pearce (Tyrese Gibson) and works with undercover U.S. Customs Service agent Monica Fuentes (Eva Mendes) to bring Miami-based drug lord Carter Verone (Cole Hauser) down.,396
1,Braveheart,2h 58min,24 May 1995 (USA),['Mel Gibson'],"['Randall Wallace', 'Icon Entertainment International', 'Ladd Company, The', 'B.H. Finance C.V.']","['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']","['Biography', 'Drama', 'History']",['8.4'],"William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce.",398
1,Coherence,1h 29min,6 August 2014 (USA),,"['James Ward Byrkit', 'James Ward Byrkit', 'Bellanova Films', 'Ugly Duckling Films']","['Emily Baldoni', 'Maury Sterling', 'Nicholas Brendon']","['Mystery', 'Sci-Fi', 'Thriller']",['7.2'],"On the night of an astronomical anomaly, eight friends at a dinner party experience a troubling chain of reality bending events.",404
1,The Mist,2h 6min,21 November 2007 (USA),['Frank Darabont'],"['Frank Darabont', 'Stephen King', 'Dimension Films', 'Darkwoods Productions', 'Weinstein Company, The']","['Thomas Jane', 'Marcia Gay Harden', 'Laurie Holden']",['Horror'],['7.2'],"Everyone thinks of it as a harmless lightning storm. When Dave Drayton notices a strange mist on the lake, he thinks nothing of it. When he, his son, Billy Drayton, and his neighbor Brent Norton travel to the supermarket, the unthinkable happens. On their way to the market, they see the army, firefighters, and the police heading toward the mist. When he sees this Brent mentions something about ""Project Arrowhead"", a secret military project that no one knows about. As they are shopping, they see three soldiers walk in, pick up a few things, then head toward the mist. All eighty of the store's shoppers have no clue what is going on until an old man runs in the market with a bloody nose and declares ""Something in the mist!"" He tells them to close the door. About five seconds after they close the door, the entire store shakes, as though it has been lifted several feet above the ground. When David is asked to check on the generator, he finds the loading dock door being pushed on by ...",406
1,The Skeleton Key,1h 44min,12 August 2005 (USA),['Iain Softley'],"['Ehren Kruger', 'Universal Pictures', 'ShadowCatcher Entertainment', 'Double Feature Films']","['Kate Hudson', 'Peter Sarsgaard', 'Joy Bryant']","['Horror', 'Mystery', 'Thriller']",['6.5'],A young hospice worker helping care for an invalid who lives in a remote mansion in the Louisiana bayous finds herself caught in the middle of morbid happenings centered around a group of Hoodoo practitioners.,408
1,Ice Age,1h 21min,15 March 2002 (USA),"['Chris Wedge', 'Carlos Saldanha']","['Michael J. Wilson', 'Michael Berg', 'Twentieth Century Fox Film Corporation', 'Blue Sky Studios', 'Twentieth Century Fox Animation']","['Denis Leary', 'John Leguizamo', 'Ray Romano']","['Animation', 'Adventure', 'Comedy']",['7.6'],"Back when the Earth was being overrun by glaciers, and animals were scurrying to save themselves from the upcoming Ice Age, a sloth named Sid, a woolly mammoth named Manny, and a saber-toothed tiger named Diego are forced to become unlikely heroes. The three reluctantly come together when they have to return a human child to its father while braving the deadly elements of the impending Ice Age.",411
1,Big Fish,2h 5min,9 January 2004 (USA),,"['Daniel Wallace', 'John August', 'Columbia Pictures Corporation', 'Jinks/Cohen Company', 'Zanuck Company, The']","['Ewan McGregor', 'Albert Finney', 'Billy Crudup']","['Adventure', 'Drama', 'Fantasy']",['8.0'],"United Press International journalist Will Bloom and his French freelance photojournalist wife Josephine Bloom, who is pregnant with their first child, leave their Paris base to return to Will's hometown of Ashton, Alabama on the news that his father, Edward Bloom, stricken with cancer, will soon die, he being taken off chemotherapy treatment. Although connected indirectly through Will's mother/Edward's wife, Sandra Bloom, Will has been estranged from his father for three years since his and Josephine's wedding. Will's issue with his father is the fanciful tales Edward has told of his life all his life, not only to Will but the whole world. As a child when Edward was largely absent as a traveling salesman, Will believed those stories, but now realizes that he does not know his father, who, as he continues to tell these stories, he will never get to know unless Edward comes clean with the truth before he dies. On the brink of his own family life beginning, Will does not want to be the ...",412
1,Before Sunrise,1h 41min,27 January 1995 (USA),['Richard Linklater'],"['Richard Linklater', 'Kim Krizan', 'Castle Rock Entertainment', 'Detour Filmproduction', 'Filmhaus Wien Universa Filmproduktions']","['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']","['Drama', 'Romance']",['8.1'],"American tourist Jesse and French student Celine meet by chance on the train from Budapest to Vienna. Sensing that they are developing a connection, Jesse asks Celine to spend the day with him in Vienna, and she agrees. So they pass the time before his scheduled flight the next morning together. How do two perfect strangers connect so intimately over the course of a single day? What is that special thing that bonds two people so strongly? As their bond turns to love, what will happen to them the next morning when Jesse flies away?",415
