english,name,duration,release_date,director,scenarists,actors,type,ratings,brief_into,movie_id
1,The Curious Case of Benjamin Button,2h 46min,25 December 2008 (USA),,"['Eric Roth', 'Eric Roth', 'Warner Bros.', 'Paramount Pictures', 'Kennedy/Marshall Company, The']","['Brad Pitt', 'Cate Blanchett', 'Tilda Swinton']","['Drama', 'Fantasy', 'Romance']",['7.8'],"On the day that Hurricane Katrina hits New Orleans, elderly Daisy Williams (nee Fuller) is on her deathbed in a New Orleans hospital. At her side is her adult daughter, Caroline. Daisy asks Caroline to read to her aloud the diary of Daisy's lifelong friend, Benjamin Button. Benjamin's diary recounts his entire extraordinary life, the primary unusual aspect of which was his aging backwards, being diagnosed with several aging diseases at birth and thus given little chance of survival, but who does survive and gets younger with time. Abandoned by his biological father, Thomas Button, after Benjamin's biological mother died in childbirth, Benjamin was raised by Queenie, a black woman and caregiver at a seniors home. Daisy's grandmother was a resident at that home, which is where she first met Benjamin. Although separated through the years, Daisy and Benjamin remain in contact throughout their lives, reconnecting in their forties when in age they finally match up. Some of the revelations ...",468
1,The Good Fight,45min,TV Series (2017– ),,"['Michelle King', 'Robert King', 'Scott Free Productions']","['Christine Baranski', 'Rose Leslie', 'Erica Tazel']",['Drama'],['8.6'],"When Diane Lockhart's life savings are lost, she must start from scratch at a new firm.",469
1,12 Angry Men,1h 36min,April 1957 (USA),['Sidney Lumet'],"['Reginald Rose', 'Reginald Rose', 'Orion-Nova Productions']","['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']","['Crime', 'Drama']",['8.9'],"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other. Based on the play, all of the action takes place on the stage of the jury room.",470
1,Moana,1h 47min,23 November 2016 (USA),,"['Jared Bush', 'Ron Clements', 'Walt Disney Animation Studios', 'Walt Disney Pictures']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Rachel House']","['Animation', 'Adventure', 'Comedy']",['7.7'],"Moana Waialiki is a sea voyaging enthusiast and the only daughter of a chief in a long line of navigators. When her island's fishermen can't catch any fish and the crops fail, she learns that the demigod Maui caused the blight by stealing the heart of the goddess, Te Fiti. The only way to heal the island is to persuade Maui to return Te Fiti's heart, so Moana sets off on an epic journey across the Pacific. The film is based on stories from Polynesian mythology.",471
1,Up,1h 36min,29 May 2009 (USA),,"['Pete Docter', 'Bob Peterson', 'Pixar Animation Studios', 'Walt Disney Pictures']","['Edward Asner', 'Jordan Nagai', 'John Ratzenberger']","['Animation', 'Adventure', 'Comedy']",['8.3'],Carl Fredricksen as a boy wanted to explore South America and find the forbidden Paradise Falls. About 64 years later he gets to begin his journey along with a Boy Scout named Russel with help from 500 balloons. On their journey they discover many new friends including a talking dog and Carl and Russel figure out that someone evil plans. Carl soon realizes that this evildoer is his childhood idol. Will they be able to defeat him and will they find Paradise Falls?,472
1,A Beautiful Mind,2h 15min,4 January 2002 (USA),['Ron Howard'],"['Akiva Goldsman', 'Sylvia Nasar', 'Universal Pictures', 'DreamWorks', 'Imagine Entertainment']","['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']","['Biography', 'Drama']",['8.2'],"From the heights of notoriety to the depths of depravity, John Forbes Nash, Jr. experienced it all. A mathematical genius, he made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a painful and harrowing journey of self-discovery. After many years of struggle, he eventually triumphed over his tragedy, and finally - late in life - received the Nobel Prize.",473
1,Pulp Fiction,2h 34min,14 October 1994 (USA),,"['Quentin Tarantino', 'Roger Avary', 'Miramax', 'A Band Apart', 'Jersey Films']","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']","['Crime', 'Drama']",['8.9'],"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.",474
1,Gone Girl,2h 29min,3 October 2014 (USA),,"['Gillian Flynn', 'Gillian Flynn', 'Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'TSG Entertainment']","['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris']","['Crime', 'Drama', 'Mystery']",['8.1'],"On the occasion of his fifth wedding anniversary, Nick Dunne reports that his wife, Amy, has gone missing. Under pressure from the police and a growing media frenzy, Nick's portrait of a blissful union begins to crumble. Soon his lies, deceits and strange behavior have everyone asking the same dark question: Did Nick Dunne kill his wife?",475
1,The Law of Vacant Places,1h 7min,Episode aired 19 April 2017,['Noah Hawley'],"['Noah Hawley', 'Noah Hawley', '26 Keys Productions', 'FX Productions', 'Littlefield Company']","['Ewan McGregor', 'Carrie Coon', 'Mary Elizabeth Winstead']","['Crime', 'Drama', 'Thriller']",['9.0'],"A twisted sibling rivalry leads to murder, mobsters and cutthroat competitive bridge in a small Midwestern town.",476
1,Paterson,1h 58min,17 November 2016 (Germany),,"['Jim Jarmusch', 'K5 International', 'Amazon Studios', 'Inkjet Productions']","['Adam Driver', 'Golshifteh Farahani', 'Nellie']","['Comedy', 'Drama', 'Romance']",['7.5'],"Exactly one week in the life of a young man named Paterson of Paterson, New Jersey is presented. He lives an extremely regimented and routinized life, that routine perhaps most vividly displayed by the fact that he is able to wake up at exactly the same time every day without an alarm. That life includes eating Cheerios for breakfast, walking to work carrying his brown bag lunch packed in his lunch pail by his wife Laura, having a casual chat with his colleague Donny before he begins his shift driving the #23 Paterson bus for the local public transit company, walking home where he straightens out the exterior mailbox which somehow during the day gets knocked crooked, eating dinner with Laura and listening to her goings-on of the day, taking Laura's English bulldog Marvin - who he would admit to himself he doesn't much like - out for a walk to his neighborhood bar where he has one and only one beer before walking home with Marvin. There are day to day variations which are often the ...",477
1,Mabel,51min,Episode aired 10 April 2017,['Vince Gilligan'],"['Vince Gilligan', 'Peter Gould']","['Bob Odenkirk', 'Jonathan Banks', 'Rhea Seehorn']","['Crime', 'Drama']",['8.4'],"The repercussions of Chuck's scheme test Jimmy and Kim's (Rhea Seehorn) fledgling law practices - and their romance - as never before. This imminent existential threat presses Jimmy's faltering moral compass to the limit. Meanwhile, Mike searches for a mysterious adversary who seems to know almost everything about his business.",478
1,The Founder,1h 55min,20 January 2017 (USA),,"['Robert D. Siegel', 'FilmNation Entertainment', 'Weinstein Company, The', 'Faliro House Productions']","['Michael Keaton', 'Nick Offerman', 'John Carroll Lynch']","['Biography', 'Drama', 'History']",['7.2'],"1954. Having worked as a salesman most of his adult life, Ray Kroc has been a hustler in most senses of the word. That hustling has made him the target of derision among certain circles for peddling what have ended up being more novelty or faddish than useful products, but it has also placed more than a comfortable roof in Arlington Heights, Illinois over his and his wife Ethel's heads. Ethel, however, wishes that he placed as much effort into being at home with her than he is in selling, his current job of peddling five-spindle milkshake makers for Prince Castle which has him constantly on the road going from one drive-in restaurant to another. It is because of the beefs he has with the whole drive-in experience (bad food, bad service) in constantly eating at such establishments while on the road that he becomes enthralled with the concept of McDonald's Restaurant in San Bernardino, California, it owned and operated by brothers Richard McDonald and Maurice McDonald - Dick and Mac. ...",479
1,Furious 7,2h 17min,3 April 2015 (USA),,"['Chris Morgan', 'Gary Scott Thompson', 'Universal Pictures', 'Media Rights Capital (MRC)', 'China Film Co.']","['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']","['Action', 'Crime', 'Thriller']",['7.2'],"Dominic and his crew thought they'd left the criminal mercenary life behind. They'd defeated international terrorist Owen Shaw and went their separate ways. But now, Shaw's brother, Deckard Shaw, is out killing the crew one by one for revenge. Worse, a Somalian terrorist called Jakarde and a shady government official called ""Mr. Nobody"" are both competing to steal a computer terrorism program called ""God's Eye,"" that can turn any technological device into a weapon. Torretto must reconvene with his team to stop Shaw and retrieve the God's Eye program while caught in a power struggle between the terrorist and the United States government.",480
1,Fantastic Beasts and Where to Find Them,2h 13min,18 November 2016 (USA),,"['J.K. Rowling', 'Heyday Films', 'Warner Bros.']","['Eddie Redmayne', 'Katherine Waterston', 'Alison Sudol']","['Adventure', 'Family', 'Fantasy']",['7.5'],"Holding a mysterious leather suitcase in his hand, Newt Scamander, a young activist wizard from England, visits New York while he is on his way to Arizona. Inside his expanding suitcase hides a wide array of diverse, magical creatures that exist among us, ranging from tiny, twig-like ones, to majestic and humongous ones. It is the middle of the 20s and times are troubled since the already fragile equilibrium of secrecy between the unseen world of wizards and the ordinary or ""No-Maj"" people that the MACUSA Congress struggles to maintain, is at risk of being unsettled. In the meantime, the voices against wizardry keep growing with daily protests led by Mary Lou Barebone and fuelled by the increasing disasters ascribed to a dark wizard, Gellert Grindelwald. At the same time, by a twist of fate, Newt's precious suitcase will be switched with the identical one of an aspiring No-Maj baker, Jacob Kowalski, while demoted Auror, Tina Goldstein, arrests Newt for being an unregistered wizard. To...",481
1,Hidden Figures,2h 7min,6 January 2017 (USA),,"['Allison Schroeder', 'Theodore Melfi', 'Levantine Films', 'Chernin Entertainment', 'Fox 2000 Pictures']","['Taraji P. Henson', 'Octavia Spencer', 'Janelle Monáe']","['Biography', 'Drama', 'History']",['7.8'],"As the United States raced against Russia to put a man in space, NASA found untapped talent in a group of African-American female mathematicians that served as the brains behind one of the greatest operations in U.S. history. Based on the unbelievably true life stories of three of these women, known as ""human computers"", we follow these women as they quickly rose the ranks of NASA alongside many of history's greatest minds specifically tasked with calculating the momentous launch of astronaut John Glenn into orbit, and guaranteeing his safe return. Dorothy Vaughan, Mary Jackson, and Katherine Johnson crossed all gender, race, and professional lines while their brilliance and desire to dream big, beyond anything ever accomplished before by the human race, firmly cemented them in U.S. history as true American heroes.",482
